 Force (Kg f), RPM, Current (A), Voltage (V), Power (W),PWM, Efficiency (g/W)
-3.52,3233,20.71,14,289.9,1100,12.1
-3.5,3244,20.63,14,288.8,1104,12.1
-3.49,3206,20.47,14,286.6,1108,12.2
-3.45,3202,19.9,14,278.6,1112,12.4
-3.4,3174,19.45,14,272.3,1116,12.5
-3.36,3160,18.96,14,265.4,1120,12.6
-3.29,3143,18.39,14,257.5,1124,12.8
-3.25,3121,18,14,252,1128,12.9
-3.19,3107,17.37,14,243.2,1132,13.1
-3.14,3071,16.96,14,237.4,1136,13.2
-3.1,3049,16.54,14,231.6,1140,13.4
-3.06,3025,16.04,14,224.6,1144,13.6
-3,3004,15.64,14,219,1148,13.7
-2.94,2979,15.19,14,212.7,1152,13.8
-2.88,2954,14.71,14,205.9,1156,14
-2.85,2937,14.33,14,200.6,1160,14.2
-2.78,2914,13.93,14,195,1164,14.3
-2.76,2883,13.57,14,190,1168,14.5
-2.69,2861,13.1,14,183.4,1172,14.7
-2.64,2847,12.7,14,177.8,1176,14.9
-2.59,2815,12.4,14,173.6,1180,14.9
-2.53,2802,11.9,14,166.6,1184,15.2
-2.49,2776,11.6,14,162.4,1188,15.3
-2.45,2740,11.3,14,158.2,1192,15.5
-2.41,2705,11,14,154,1196,15.6
-2.35,2697,10.6,14,148.4,1200,15.8
-2.34,2659,10.36,14,145,1204,16.1
-2.26,2658,9.93,14,139,1208,16.2
-2.2,2619,9.67,14,135.4,1212,16.3
-2.18,2598,9.33,14,130.6,1216,16.7
-2.12,2566,9,14,126,1220,16.8
-2.05,2543,8.7,14,121.8,1224,16.9
-2.03,2504,8.4,14,117.6,1228,17.2
-1.99,2482,8,14,112,1232,17.7
-1.91,2452,7.7,14,107.8,1236,17.7
-1.89,2418,7.4,14,103.6,1240,18.3
-1.82,2405,7.04,14,98.6,1244,18.5
-1.76,2366,6.8,14,95.2,1248,18.5
-1.72,2331,6.5,14,91,1252,18.9
-1.68,2302,6.29,14,88.1,1256,19.1
-1.63,2271,6,14,84,1260,19.4
-1.58,2246,5.77,14,80.8,1264,19.5
-1.56,2221,5.5,14,77,1268,20.3
-1.52,2194,5.34,14,74.8,1272,20.3
-1.48,2171,5.1,14,71.4,1276,20.7
-1.44,2139,4.9,14,68.6,1280,21
-1.4,2116,4.7,14,65.8,1284,21.3
-1.37,2081,4.5,14,63,1288,21.7
-1.32,2056,4.29,14,60.1,1292,22.1
-1.28,2023,4.1,14,57.4,1296,22.4
-1.24,1995,3.9,14,54.6,1300,22.7
-1.19,1959,3.7,14,51.8,1304,23
-1.17,1930,3.5,14,49,1308,23.8
-1.12,1896,3.3,14,46.2,1312,24.3
-1.09,1873,3.2,14,44.8,1316,24.3
-1.05,1838,3,14,42,1320,25.1
-1.02,1813,2.9,14,40.6,1324,25
-0.98,1785,2.7,14,37.8,1328,26
-0.95,1754,2.5,14,35,1332,27.2
-0.92,1724,2.3,14,32.2,1336,28.5
-0.88,1689,2.2,14,30.8,1340,28.7
-0.85,1659,2,14,28,1344,30.3
-0.81,1625,1.9,14,26.6,1348,30.4
-0.77,1590,1.7,14,23.8,1352,32.2
-0.74,1552,1.6,14,22.4,1356,33
-0.7,1523,1.5,14,21,1360,33.5
-0.68,1487,1.4,14,19.6,1364,34.7
-0.65,1455,1.3,14,18.2,1368,35.6
-0.62,1421,1.2,14,16.8,1372,37
-0.59,1375,1.1,14,15.4,1376,38
-0.55,1341,1,14,14,1380,39.2
-0.52,1307,0.9,14,12.6,1384,41
-0.49,1268,0.8,14,11.2,1388,43.7
-0.46,1233,0.8,14,11.2,1392,41.3
-0.43,1188,0.7,14,9.8,1396,43.5
-0.4,1150,0.6,14,8.4,1400,47.5
-0.37,1106,0.5,14,7,1404,53.1
-0.35,1064,0.5,14,7,1408,49.9
-0.32,1018,0.4,14,5.6,1412,56.7
-0.29,974,0.4,14,5.6,1416,51
-0.26,929,0.3,14,4.2,1420,61.6
-0.24,886,0.3,14,4.2,1424,56.2
-0.21,834,0.2,14,2.8,1428,74.5
-0.19,786,0.2,14,2.8,1432,66.4
-0.16,735,0.2,14,2.8,1436,58.3
-0.15,683,0.11,14,1.5,1440,94.3
-0.12,628,0.1,14,1.4,1444,87.5
-0.1,575,0.1,14,1.4,1448,71.3
-0.08,518,0.05,14,0.7,1452,116.6
-0.07,463,0.05,14,0.7,1456,97.2
-0.05,400,0.05,14,0.7,1460,64.8
-0.03,342,0.05,14,0.7,1464,45.4
0,0,0,14,0,1468,0
0,0,0,14,0,1532,0
0.05,344,0.05,14,0.7,1536,64.8
0.06,399,0.05,14,0.7,1540,90.7
0.08,461,0.05,14,0.7,1544,116.6
0.1,515,0.01,14,1.4,1548,71.4
0.12,573,0.1,14,1.4,1552,87.5
0.15,626,0.1,14,1.4,1556,103.7
0.18,675,0.13,14,1.8,1560,97.2
0.2,731,0.2,14,2.8,1564,71.3
0.23,777,0.2,14,2.8,1568,81
0.26,824,0.2,14,2.8,1572,94
0.29,876,0.3,14,4.2,1576,69.1
